,PIB_R_0,PIB_R_1C,EMP_0,EMP_1C,POPACT_0,POPACT_1C,EMISTOTALESD_0,EMISTOTALESD_1C,P_VAB_0,P_VAB_1C,P_CFIN_0,P_CFIN_1C,P_XBS_0,P_XBS_1C,RDMEN_0,RDMEN_1C,EQUEXT_R_0,EQUEXT_R_1C,I_R_0,I_R_1C,XBS_R_0,XBS_R_1C,SALM_0,SALM_1C,R_EQUEXT_R_0,R_EQUEXT_R_1C,R_EPMEN_0,R_EPMEN_1C,R_UBIT_0,R_UBIT_1C,R_RCDPSNM_0,R_RCDPSNM_1C,R_RCDPSNMPRIM_0,R_RCDPSNMPRIM_1C,R_EPMEN_0,R_EPMEN_1C,R_UBIT_0,R_UBIT_1C,R_RCDPSNM_0,R_RCDPSNM_1C
1998,31.45320,31.45320,239.9288,239.9288,182.3236,182.3236,NA,NA,0.561440,0.561440,0.712702,0.712702,0.565066,0.565066,8.858871,8.858871,9.934278,9.934278,5.299969,5.299969,40.97358,40.97358,39.14552,39.14552,31.58432,31.58432,10.79567,10.79567,2.600000,2.600000,2.847206,2.847206,3.247870,3.247870,10.79567,10.79567,2.600000,2.600000,2.847206,2.847206
1999,34.02450,34.02450,250.8794,250.8794,185.4119,185.4119,NA,NA,0.589560,0.589560,0.730167,0.730167,0.570539,0.570539,9.490706,9.490706,11.01769,11.01769,6.416922,6.416922,46.79614,46.79614,41.06508,41.06508,32.38165,32.38165,10.42563,10.42563,2.400000,2.400000,3.108170,3.108170,3.508332,3.508332,10.42563,10.42563,2.400000,2.400000,3.108170,3.108170
2000,36.38520,36.38520,263.9512,263.9512,189.2091,189.2091,NA,NA,0.619767,0.619767,0.752802,0.752802,0.620283,0.620283,10.47038,10.47038,12.39210,12.39210,6.313933,6.313933,54.71323,54.71323,43.36490,43.36490,34.05807,34.05807,12.03730,12.03730,2.400000,2.400000,5.544918,5.544918,5.880443,5.880443,12.03730,12.03730,2.400000,2.400000,5.544918,5.544918
2001,37.50380,37.50380,279.0930,279.0930,194.3232,194.3232,NA,NA,0.624924,0.624924,0.771164,0.771164,0.591182,0.591182,11.11200,11.11200,13.84214,13.84214,6.741619,6.741619,59.05556,59.05556,44.74066,44.74066,36.90864,36.90864,12.27964,12.27964,2.300000,2.300000,5.626650,5.626650,5.935275,5.935275,12.27964,12.27964,2.300000,2.300000,5.626650,5.626650
2002,38.71350,38.71350,286.8136,286.8136,197.5063,197.5063,NA,NA,0.634458,0.634458,0.782405,0.782405,0.585664,0.585664,12.05491,12.05491,13.47339,13.47339,6.770572,6.770572,58.23401,58.23401,46.53073,46.53073,34.80283,34.80283,13.72703,13.72703,2.900000,2.900000,2.030988,2.030988,2.298699,2.298699,13.72703,13.72703,2.900000,2.900000,2.030988,2.030988
2003,39.72750,39.72750,292.5372,292.5372,201.6039,201.6039,NA,NA,0.647889,0.647889,0.801379,0.801379,0.586256,0.586256,12.39955,12.39955,13.04488,13.04488,6.908455,6.908455,59.43210,59.43210,47.11790,47.11790,32.83590,32.83590,12.00232,12.00232,3.700000,3.700000,0.272949,0.272949,0.515915,0.515915,12.00232,12.00232,3.700000,3.700000,0.272949,0.272949
2004,41.40870,41.40870,299.3050,299.3050,204.1340,204.1340,NA,NA,0.666939,0.666939,0.820008,0.820008,0.623831,0.623831,12.78194,12.78194,14.23417,14.23417,7.328627,7.328627,64.95002,64.95002,48.84319,48.84319,34.37484,34.37484,11.61337,11.61337,5.100000,5.100000,-1.393313,-1.393313,-1.205545,-1.205545,11.61337,11.61337,5.100000,5.100000,-1.393313,-1.393313
2005,42.43690,42.43690,307.5232,307.5232,206.3395,206.3395,10.40515,10.40515,0.700810,0.700810,0.846797,0.846797,0.672262,0.672262,13.01309,13.01309,14.78203,14.78203,6.933988,6.933988,69.28782,69.28782,50.88105,50.88105,34.83296,34.83296,10.79340,10.79340,4.500000,4.500000,-0.207827,-0.207827,-0.015042,-0.015042,10.79340,10.79340,4.500000,4.500000,-0.207827,-0.207827
2006,44.99020,44.99020,319.2731,319.2731,210.6071,210.6071,10.12458,10.12458,0.748506,0.748506,0.867286,0.867286,0.727234,0.727234,13.77814,13.77814,17.69201,17.69201,7.255904,7.255904,78.82648,78.82648,52.98511,52.98511,39.32414,39.32414,10.15143,10.15143,4.700000,4.700000,1.911560,1.911560,2.128327,2.128327,10.15143,10.15143,4.700000,4.700000,1.911560,1.911560
2007,48.63380,48.63380,333.2547,333.2547,215.2915,215.2915,9.686148,9.686148,0.759287,0.759287,0.885863,0.885863,0.773036,0.773036,14.52844,14.52844,19.70660,19.70660,8.092914,8.092914,82.57304,82.57304,55.18511,55.18511,40.52037,40.52037,10.90009,10.90009,4.100000,4.100000,4.362919,4.362919,4.644795,4.644795,10.90009,10.90009,4.100000,4.100000,4.362919,4.362919
